Item Slot,Item Type,Name,Required Level,Required Strength,Required Dexerity,Required Intelligence,Innate Stat,Enhancement Bonus,Line 1,Line 2,Line 3,Line 4,Line 5,Line 6,Discord Pretty Print,Copy/Paste Friendly Pretty Print
Weapon,Battlestave,Skyward,21,20,,20,32% increased attack critical hit chance,3.20%,+(2 to 5)% local base critical hit chance,Hits penetrate (10 to 20)% of lightning resistance,(10 to 30)% increased experience gain,Adds 1 to 4 local lightning damage per character level,,,"***Skyward*** (Battlestave - Req. Level: ***21***; Req. Str ***20***;Req. Int ***20***;)
- Innate: 32% increased attack critical hit chance
  - +(2 to 5)% local base critical hit chance
  - Hits penetrate (10 to 20)% of lightning resistance
  - (10 to 30)% increased experience gain
  - Adds 1 to 4 local lightning damage per character level","***Skyward*** (Battlestave - Req. Level: ***21***; Req. Str ***20***;Req. Int ***20***;)
- Innate: 32% increased attack critical hit chance
  - +(2 to 5)% local base critical hit chance
  - Hits penetrate (10 to 20)% of lightning resistance
  - (10 to 30)% increased experience gain
  - Adds 1 to 4 local lightning damage per character level"
Weapon,Battlestave,Apotheosis,25,23,,23,+18% chance to block,1.80%,(10 to 30)% increased attributes,6% increased attack damage per 10 strength,4% increased attack speed per 10 dexterity,12% increased melee critical hit chance per 10 intelligence,,,"***Apotheosis*** (Battlestave - Req. Level: ***25***; Req. Str ***23***;Req. Int ***23***;)
- Innate: +18% chance to block
  - (10 to 30)% increased attributes
  - 6% increased attack damage per 10 strength
  - 4% increased attack speed per 10 dexterity
  - 12% increased melee critical hit chance per 10 intelligence","***Apotheosis*** (Battlestave - Req. Level: ***25***; Req. Str ***23***;Req. Int ***23***;)
- Innate: +18% chance to block
  - (10 to 30)% increased attributes
  - 6% increased attack damage per 10 strength
  - 4% increased attack speed per 10 dexterity
  - 12% increased melee critical hit chance per 10 intelligence"
Weapon,Battlestave,Enigmatic Rod,46,61,,61,24% chance to block,2.40%,+(-30 to 30)% to all elemental resistances,(180 to 240)% increased local physical damage,Convert (0 to 100)% of your physical damage to lightning damage,Convert (0 to 100)% of your physical damage to cold damage,Convert (0 to 100)% of your physical damage to fire damage,,"***Enigmatic Rod*** (Battlestave - Req. Level: ***46***; Req. Str ***61***;Req. Int ***61***;)
- Innate: 24% chance to block
  - +(-30 to 30)% to all elemental resistances
  - (180 to 240)% increased local physical damage
  - Convert (0 to 100)% of your physical damage to lightning damage
  - Convert (0 to 100)% of your physical damage to cold damage
  - Convert (0 to 100)% of your physical damage to fire damage","***Enigmatic Rod*** (Battlestave - Req. Level: ***46***; Req. Str ***61***;Req. Int ***61***;)
- Innate: 24% chance to block
  - +(-30 to 30)% to all elemental resistances
  - (180 to 240)% increased local physical damage
  - Convert (0 to 100)% of your physical damage to lightning damage
  - Convert (0 to 100)% of your physical damage to cold damage
  - Convert (0 to 100)% of your physical damage to fire damage"
Weapon,Battlestave,Echoing Conviction,49,70,,70,64% increased attack critical hit chance,6.40%,Adds (80 to 120) to (300 to 500) local lightning damage,+(5 to 8)% local base critical hit chance,Hits penetrate (10 to 30)% of enemy elemental resistances,"When you deal a critical hit, perform an additional hit with a 50% chance",,,"***Echoing Conviction*** (Battlestave - Req. Level: ***49***; Req. Str ***70***;Req. Int ***70***;)
- Innate: 64% increased attack critical hit chance
  - Adds (80 to 120) to (300 to 500) local lightning damage
  - +(5 to 8)% local base critical hit chance
  - Hits penetrate (10 to 30)% of enemy elemental resistances
  - When you deal a critical hit, perform an additional hit with a 50% chance","***Echoing Conviction*** (Battlestave - Req. Level: ***49***; Req. Str ***70***;Req. Int ***70***;)
- Innate: 64% increased attack critical hit chance
  - Adds (80 to 120) to (300 to 500) local lightning damage
  - +(5 to 8)% local base critical hit chance
  - Hits penetrate (10 to 30)% of enemy elemental resistances
  - When you deal a critical hit, perform an additional hit with a 50% chance"
Weapon,Battlestave,Solspire,49,70,,70,32% increased mana,3.20%,+(100 to 200) to maximum mana,recover (5 to 10)% of mana on block,1% chance to block per 100 maximum mana,"When you attack while your mana is above 50% of maximum mana, sacrifice all mana to deal 6 to 9 additional fire damage per 10 mana sacrificed this way",,,"***Solspire*** (Battlestave - Req. Level: ***49***; Req. Str ***70***;Req. Int ***70***;)
- Innate: 32% increased mana
  - +(100 to 200) to maximum mana
  - recover (5 to 10)% of mana on block
  - 1% chance to block per 100 maximum mana
  - When you attack while your mana is above 50% of maximum mana, sacrifice all mana to deal 6 to 9 additional fire damage per 10 mana sacrificed this way","***Solspire*** (Battlestave - Req. Level: ***49***; Req. Str ***70***;Req. Int ***70***;)
- Innate: 32% increased mana
  - +(100 to 200) to maximum mana
  - recover (5 to 10)% of mana on block
  - 1% chance to block per 100 maximum mana
  - When you attack while your mana is above 50% of maximum mana, sacrifice all mana to deal 6 to 9 additional fire damage per 10 mana sacrificed this way"
Weapon,Battlestave,Divinarius,56,90,,90,24% chance to block,2.40%,+(30 to 50) to all attributes,(30 to 50)% increased recovery from all sources,Adds (160 to 240) to (320 to 480) local fire damage,+(10 to 30)% chance to block,,,"***Divinarius*** (Battlestave - Req. Level: ***56***; Req. Str ***90***;Req. Int ***90***;)
- Innate: 24% chance to block
  - +(30 to 50) to all attributes
  - (30 to 50)% increased recovery from all sources
  - Adds (160 to 240) to (320 to 480) local fire damage
  - +(10 to 30)% chance to block","***Divinarius*** (Battlestave - Req. Level: ***56***; Req. Str ***90***;Req. Int ***90***;)
- Innate: 24% chance to block
  - +(30 to 50) to all attributes
  - (30 to 50)% increased recovery from all sources
  - Adds (160 to 240) to (320 to 480) local fire damage
  - +(10 to 30)% chance to block"
Armor,Body,Traitor's Garb,21,,35,,9% increased evasion rating,0.90%,(50 to 80)% increased local defences,Recover (4 to 8)% of life on kill,Enemies take (20 to 40)% increased damage,Take 100% increased damage while you are below 50% of maximum life,,,"***Traitor's Garb*** (Body - Req. Level: ***21***; Req. Dex ***35***;)
- Innate: 9% increased evasion rating
  - (50 to 80)% increased local defences
  - Recover (4 to 8)% of life on kill
  - Enemies take (20 to 40)% increased damage
  - Take 100% increased damage while you are below 50% of maximum life","***Traitor's Garb*** (Body - Req. Level: ***21***; Req. Dex ***35***;)
- Innate: 9% increased evasion rating
  - (50 to 80)% increased local defences
  - Recover (4 to 8)% of life on kill
  - Enemies take (20 to 40)% increased damage
  - Take 100% increased damage while you are below 50% of maximum life"
Armor,Body,Mind Bulwark,21,20,,20,+6% to all elemental resistances,0.60%,(10 to 20)% increased mana,(10 to 20)% increased intelligence,+(30 to 50)% to armour effectiveness against chaos damage,Gain armor equal to 40% of maximum mana,,,"***Mind Bulwark*** (Body - Req. Level: ***21***; Req. Str ***20***;Req. Int ***20***;)
- Innate: +6% to all elemental resistances
  - (10 to 20)% increased mana
  - (10 to 20)% increased intelligence
  - +(30 to 50)% to armour effectiveness against chaos damage
  - Gain armor equal to 40% of maximum mana","***Mind Bulwark*** (Body - Req. Level: ***21***; Req. Str ***20***;Req. Int ***20***;)
- Innate: +6% to all elemental resistances
  - (10 to 20)% increased mana
  - (10 to 20)% increased intelligence
  - +(30 to 50)% to armour effectiveness against chaos damage
  - Gain armor equal to 40% of maximum mana"
Armor,Body,Eternal Penance,25,23,,23,+6% to all elemental resistances,0.60%,Regenerate (16 to 24)% of life per second,Take (80 to 120)% increased damage,Take (20 to 40)% of physical damage as chaos damage,Take (20 to 40)% of elemental damage as chaos damage,,,"***Eternal Penance*** (Body - Req. Level: ***25***; Req. Str ***23***;Req. Int ***23***;)
- Innate: +6% to all elemental resistances
  - Regenerate (16 to 24)% of life per second
  - Take (80 to 120)% increased damage
  - Take (20 to 40)% of physical damage as chaos damage
  - Take (20 to 40)% of elemental damage as chaos damage","***Eternal Penance*** (Body - Req. Level: ***25***; Req. Str ***23***;Req. Int ***23***;)
- Innate: +6% to all elemental resistances
  - Regenerate (16 to 24)% of life per second
  - Take (80 to 120)% increased damage
  - Take (20 to 40)% of physical damage as chaos damage
  - Take (20 to 40)% of elemental damage as chaos damage"
Armor,Body,Solemn Oath,39,45,,45,+6% to all elemental resistances,0.60%,+(20 to 50)% to all attributes,+(10 to 30)% to chaos resistance,+8 to energy shield per 10 strength,+16 armour per 10 intelligence,,,"***Solemn Oath*** (Body - Req. Level: ***39***; Req. Str ***45***;Req. Int ***45***;)
- Innate: +6% to all elemental resistances
  - +(20 to 50)% to all attributes
  - +(10 to 30)% to chaos resistance
  - +8 to energy shield per 10 strength
  - +16 armour per 10 intelligence","***Solemn Oath*** (Body - Req. Level: ***39***; Req. Str ***45***;Req. Int ***45***;)
- Innate: +6% to all elemental resistances
  - +(20 to 50)% to all attributes
  - +(10 to 30)% to chaos resistance
  - +8 to energy shield per 10 strength
  - +16 armour per 10 intelligence"
Armor,Body,Forgeheart,42,88,,,12% increased armour,1.20%,+(80 to 140) to maximum life,+(20 to 40)% to fire resistance,(10 to 30)% increased life recovery,Take (20 to 40)% of physical damage as fire damage,,,"***Forgeheart*** (Body - Req. Level: ***42***; Req. Str ***88***;)
- Innate: 12% increased armour
  - +(80 to 140) to maximum life
  - +(20 to 40)% to fire resistance
  - (10 to 30)% increased life recovery
  - Take (20 to 40)% of physical damage as fire damage","***Forgeheart*** (Body - Req. Level: ***42***; Req. Str ***88***;)
- Innate: 12% increased armour
  - +(80 to 140) to maximum life
  - +(20 to 40)% to fire resistance
  - (10 to 30)% increased life recovery
  - Take (20 to 40)% of physical damage as fire damage"
Armor,Body,Adaptive Mail,49,70,70,,+40 to maximum life,+4,(400 to 700)% increased local defences,+(10 to 30)% to all elemental resistances,Cannot evade while you are above 50% of maximum life,Your armor has no effect while you are below 50% of maximum life,,,"***Adaptive Mail*** (Body - Req. Level: ***49***; Req. Str ***70***;Req. Dex ***70***;)
- Innate: +40 to maximum life
  - (400 to 700)% increased local defences
  - +(10 to 30)% to all elemental resistances
  - Cannot evade while you are above 50% of maximum life
  - Your armor has no effect while you are below 50% of maximum life","***Adaptive Mail*** (Body - Req. Level: ***49***; Req. Str ***70***;Req. Dex ***70***;)
- Innate: +40 to maximum life
  - (400 to 700)% increased local defences
  - +(10 to 30)% to all elemental resistances
  - Cannot evade while you are above 50% of maximum life
  - Your armor has no effect while you are below 50% of maximum life"
Armor,Body,The Carapace,56,450,,,12% increased amour,1.20%,(240 to 360) increased local defences,+(8 to 24)% to all elemental resistances,200% increased attribute requirements,Take no extra damage from critical hits,,,"***The Carapace*** (Body - Req. Level: ***56***; Req. Str ***450***;)
- Innate: 12% increased amour
  - (240 to 360) increased local defences
  - +(8 to 24)% to all elemental resistances
  - 200% increased attribute requirements
  - Take no extra damage from critical hits","***The Carapace*** (Body - Req. Level: ***56***; Req. Str ***450***;)
- Innate: 12% increased amour
  - (240 to 360) increased local defences
  - +(8 to 24)% to all elemental resistances
  - 200% increased attribute requirements
  - Take no extra damage from critical hits"
Armor,Body,Tempest's Embrace,56,,150,,12% increased evasion rating,1.20%,+(20 to 60) to dexterity,(100 to 180)% increased local defences,Take (20 to 40)% of physical damage as lightning damage,"Once per stage, if you would die, recover 25% of maximum life and permanently inflict 50% shock on yourself",,,"***Tempest's Embrace*** (Body - Req. Level: ***56***; Req. Dex ***150***;)
- Innate: 12% increased evasion rating
  - +(20 to 60) to dexterity
  - (100 to 180)% increased local defences
  - Take (20 to 40)% of physical damage as lightning damage
  - Once per stage, if you would die, recover 25% of maximum life and permanently inflict 50% shock on yourself","***Tempest's Embrace*** (Body - Req. Level: ***56***; Req. Dex ***150***;)
- Innate: 12% increased evasion rating
  - +(20 to 60) to dexterity
  - (100 to 180)% increased local defences
  - Take (20 to 40)% of physical damage as lightning damage
  - Once per stage, if you would die, recover 25% of maximum life and permanently inflict 50% shock on yourself"
Armor,Body,Lightshroud,56,,,150,12% increased energy shield,1.20%,(-95 to -90)% less energy shield,+(10 to 30)% to chaos resistance,Take (20 to 40)% of physical damage as chaos damage,Your energy shield cannot be reduced below its maximum by damage taken,,,"***Lightshroud*** (Body - Req. Level: ***56***; Req. Int ***150***;)
- Innate: 12% increased energy shield
  - (-95 to -90)% less energy shield
  - +(10 to 30)% to chaos resistance
  - Take (20 to 40)% of physical damage as chaos damage
  - Your energy shield cannot be reduced below its maximum by damage taken","***Lightshroud*** (Body - Req. Level: ***56***; Req. Int ***150***;)
- Innate: 12% increased energy shield
  - (-95 to -90)% less energy shield
  - +(10 to 30)% to chaos resistance
  - Take (20 to 40)% of physical damage as chaos damage
  - Your energy shield cannot be reduced below its maximum by damage taken"
Armor,Helmet,Mask of the Broken,1,,,9,6% increased energy shield,0.60%,+(-200 to 200) to maximum life,+(-200 to 200) to maximum mana,+(-40 to 40) to all attributes,(-40 to 40)% increased defences,(-20 to 20)% to all elemental resistances,(-40 to 40)% increased damage,"***Mask of the Broken*** (Helmet - Req. Level: ***1***; Req. Int ***9***;)
- Innate: 6% increased energy shield
  - +(-200 to 200) to maximum life
  - +(-200 to 200) to maximum mana
  - +(-40 to 40) to all attributes
  - (-40 to 40)% increased defences
  - (-20 to 20)% to all elemental resistances
  - (-40 to 40)% increased damage","***Mask of the Broken*** (Helmet - Req. Level: ***1***; Req. Int ***9***;)
- Innate: 6% increased energy shield
  - +(-200 to 200) to maximum life
  - +(-200 to 200) to maximum mana
  - +(-40 to 40) to all attributes
  - (-40 to 40)% increased defences
  - (-20 to 20)% to all elemental resistances
  - (-40 to 40)% increased damage"
Armor,Helmet,Shroud of Avarice,4,,7,7,+2% chance to dodge,0.20%,+(8 to 12)% chance to dodge,Take 10% increased damage,(10 to 30)% increased item rarity,(10 to 20)% increased item quantity,,,"***Shroud of Avarice*** (Helmet - Req. Level: ***4***; Req. Dex ***7***;Req. Int ***7***;)
- Innate: +2% chance to dodge
  - +(8 to 12)% chance to dodge
  - Take 10% increased damage
  - (10 to 30)% increased item rarity
  - (10 to 20)% increased item quantity","***Shroud of Avarice*** (Helmet - Req. Level: ***4***; Req. Dex ***7***;Req. Int ***7***;)
- Innate: +2% chance to dodge
  - +(8 to 12)% chance to dodge
  - Take 10% increased damage
  - (10 to 30)% increased item rarity
  - (10 to 20)% increased item quantity"
Armor,Helmet,Crest of Ascension,28,26,,26,+6% to all elemental resistances,0.60%,(10 to 20)% increased life,(50 to 80)% increased local defences,(10 to 20)% to chaos resistance,Gain (8 to 14)% of life as extra base energy shield,,,"***Crest of Ascension*** (Helmet - Req. Level: ***28***; Req. Str ***26***;Req. Int ***26***;)
- Innate: +6% to all elemental resistances
  - (10 to 20)% increased life
  - (50 to 80)% increased local defences
  - (10 to 20)% to chaos resistance
  - Gain (8 to 14)% of life as extra base energy shield","***Crest of Ascension*** (Helmet - Req. Level: ***28***; Req. Str ***26***;Req. Int ***26***;)
- Innate: +6% to all elemental resistances
  - (10 to 20)% increased life
  - (50 to 80)% increased local defences
  - (10 to 20)% to chaos resistance
  - Gain (8 to 14)% of life as extra base energy shield"
Armor,Helmet,Crown of Scorn,31,53,,,9% increased armour,0.90%,(200 to 400)% increased local defences,You cannot evade or dodge,Enemies have 100% more speed,Enemies deal 25% less damage,,,"***Crown of Scorn*** (Helmet - Req. Level: ***31***; Req. Str ***53***;)
- Innate: 9% increased armour
  - (200 to 400)% increased local defences
  - You cannot evade or dodge
  - Enemies have 100% more speed
  - Enemies deal 25% less damage","***Crown of Scorn*** (Helmet - Req. Level: ***31***; Req. Str ***53***;)
- Innate: 9% increased armour
  - (200 to 400)% increased local defences
  - You cannot evade or dodge
  - Enemies have 100% more speed
  - Enemies deal 25% less damage"
Armor,Helmet,Crimson Visage,35,63,,,9% increased armour,0.90%,(10 to 20)% increased life,Regenerate (2 to 4)% of life per second,(30 to 50)% increased critical hit chance,Cannot recover life while above 50% of maximum life,,,"***Crimson Visage*** (Helmet - Req. Level: ***35***; Req. Str ***63***;)
- Innate: 9% increased armour
  - (10 to 20)% increased life
  - Regenerate (2 to 4)% of life per second
  - (30 to 50)% increased critical hit chance
  - Cannot recover life while above 50% of maximum life","***Crimson Visage*** (Helmet - Req. Level: ***35***; Req. Str ***63***;)
- Innate: 9% increased armour
  - (10 to 20)% increased life
  - Regenerate (2 to 4)% of life per second
  - (30 to 50)% increased critical hit chance
  - Cannot recover life while above 50% of maximum life"
Armor,Helmet,Dreadveil,35,,38,38,+3% chance to dodge,0.30%,(60 to 90)% increased local defences,+(10 to 20)% to chaos resistance,+(6 to 12)% chance to dodge,Enemies lose 25% of maximum life at the beginning of combat,,,"***Dreadveil*** (Helmet - Req. Level: ***35***; Req. Dex ***38***;Req. Int ***38***;)
- Innate: +3% chance to dodge
  - (60 to 90)% increased local defences
  - +(10 to 20)% to chaos resistance
  - +(6 to 12)% chance to dodge
  - Enemies lose 25% of maximum life at the beginning of combat","***Dreadveil*** (Helmet - Req. Level: ***35***; Req. Dex ***38***;Req. Int ***38***;)
- Innate: +3% chance to dodge
  - (60 to 90)% increased local defences
  - +(10 to 20)% to chaos resistance
  - +(6 to 12)% chance to dodge
  - Enemies lose 25% of maximum life at the beginning of combat"
Armor,Helmet,Prowlsight,39,,75,,12% increased evasion rating,1.20%,Gain (100 to 200) life on kill,(30 to 50)% increased critical hit chance,+(5 to 8)% chance to dodge,10% more accuracy rating per 0.1 seconds of attack time,,,"***Prowlsight*** (Helmet - Req. Level: ***39***; Req. Dex ***75***;)
- Innate: 12% increased evasion rating
  - Gain (100 to 200) life on kill
  - (30 to 50)% increased critical hit chance
  - +(5 to 8)% chance to dodge
  - 10% more accuracy rating per 0.1 seconds of attack time","***Prowlsight*** (Helmet - Req. Level: ***39***; Req. Dex ***75***;)
- Innate: 12% increased evasion rating
  - Gain (100 to 200) life on kill
  - (30 to 50)% increased critical hit chance
  - +(5 to 8)% chance to dodge
  - 10% more accuracy rating per 0.1 seconds of attack time"
Armor,Helmet,Gimpse of Serenity,39,,,75,12% increased energy shield,1.20%,(50 to 80)% increased local defence,+(10 to 20)% to chaos resistance,(50 to 80)% increased mana regeneration,50% of mana regeneration per second applies to your energy shield instead,,,"***Gimpse of Serenity*** (Helmet - Req. Level: ***39***; Req. Int ***75***;)
- Innate: 12% increased energy shield
  - (50 to 80)% increased local defence
  - +(10 to 20)% to chaos resistance
  - (50 to 80)% increased mana regeneration
  - 50% of mana regeneration per second applies to your energy shield instead","***Gimpse of Serenity*** (Helmet - Req. Level: ***39***; Req. Int ***75***;)
- Innate: 12% increased energy shield
  - (50 to 80)% increased local defence
  - +(10 to 20)% to chaos resistance
  - (50 to 80)% increased mana regeneration
  - 50% of mana regeneration per second applies to your energy shield instead"
Armor,Helmet,Flowing Crown,42,,,88,% increased energy shield,,(120 to 240)% increased local defences,Regenerate (2 to 4)% of energy shield per second,Mana cost of abilities is paid with energy shield instead,You have no mana,,,"***Flowing Crown*** (Helmet - Req. Level: ***42***; Req. Int ***88***;)
- Innate: % increased energy shield
  - (120 to 240)% increased local defences
  - Regenerate (2 to 4)% of energy shield per second
  - Mana cost of abilities is paid with energy shield instead
  - You have no mana","***Flowing Crown*** (Helmet - Req. Level: ***42***; Req. Int ***88***;)
- Innate: % increased energy shield
  - (120 to 240)% increased local defences
  - Regenerate (2 to 4)% of energy shield per second
  - Mana cost of abilities is paid with energy shield instead
  - You have no mana"
Armor,Helmet,The Hollow Revenant,46,61,,61,+8% to all elemental resistances,0.80%,(10 to 30)% increased life,Take (10 to 30)% of physical damage as chaos damage,"Once per stage, if you would die, your maximum life is halved, then recover all life","If your death was prevented during the current stage, gain 40% more speed and take 1.000 chaos damage per second",,,"***The Hollow Revenant*** (Helmet - Req. Level: ***46***; Req. Str ***61***;Req. Int ***61***;)
- Innate: +8% to all elemental resistances
  - (10 to 30)% increased life
  - Take (10 to 30)% of physical damage as chaos damage
  - Once per stage, if you would die, your maximum life is halved, then recover all life
  - If your death was prevented during the current stage, gain 40% more speed and take 1.000 chaos damage per second","***The Hollow Revenant*** (Helmet - Req. Level: ***46***; Req. Str ***61***;Req. Int ***61***;)
- Innate: +8% to all elemental resistances
  - (10 to 30)% increased life
  - Take (10 to 30)% of physical damage as chaos damage
  - Once per stage, if you would die, your maximum life is halved, then recover all life
  - If your death was prevented during the current stage, gain 40% more speed and take 1.000 chaos damage per second"
Armor,Helmet,Cowl of the Kin'Jal,49,,70,70,+4% chance to dodge,0.40%,(120-180)% increased local defences,(10 to 30)% increased attack and cast speed,You cannot evade while you have energy shield,"Take 1% reduced damage per 200 evasion rating while you have energy shield, up to 50%",,,"***Cowl of the Kin'Jal*** (Helmet - Req. Level: ***49***; Req. Dex ***70***;Req. Int ***70***;)
- Innate: +4% chance to dodge
  - (120-180)% increased local defences
  - (10 to 30)% increased attack and cast speed
  - You cannot evade while you have energy shield
  - Take 1% reduced damage per 200 evasion rating while you have energy shield, up to 50%","***Cowl of the Kin'Jal*** (Helmet - Req. Level: ***49***; Req. Dex ***70***;Req. Int ***70***;)
- Innate: +4% chance to dodge
  - (120-180)% increased local defences
  - (10 to 30)% increased attack and cast speed
  - You cannot evade while you have energy shield
  - Take 1% reduced damage per 200 evasion rating while you have energy shield, up to 50%"
Armor,Gloves,Verdant Soul,7,9,,9,+4% to all elemental resistances,0.40%,+(10 to 30)% to lightning resistance,+(10 to 30)% to cold resistance,+(10 to 30)% to fire resistance,2% increased energy shield per 1% lightning resistance above your maximum lightning resistance,2% increased evasion rating per 1% cold resistance above your maximum cold resistance,2% increased armor per 1% fire resistance above your maximum fire resistance,"***Verdant Soul*** (Gloves - Req. Level: ***7***; Req. Str ***9***;Req. Int ***9***;)
- Innate: +4% to all elemental resistances
  - +(10 to 30)% to lightning resistance
  - +(10 to 30)% to cold resistance
  - +(10 to 30)% to fire resistance
  - 2% increased energy shield per 1% lightning resistance above your maximum lightning resistance
  - 2% increased evasion rating per 1% cold resistance above your maximum cold resistance
  - 2% increased armor per 1% fire resistance above your maximum fire resistance","***Verdant Soul*** (Gloves - Req. Level: ***7***; Req. Str ***9***;Req. Int ***9***;)
- Innate: +4% to all elemental resistances
  - +(10 to 30)% to lightning resistance
  - +(10 to 30)% to cold resistance
  - +(10 to 30)% to fire resistance
  - 2% increased energy shield per 1% lightning resistance above your maximum lightning resistance
  - 2% increased evasion rating per 1% cold resistance above your maximum cold resistance
  - 2% increased armor per 1% fire resistance above your maximum fire resistance"
Armor,Gloves,Thief's Grip,18,,17,17,3% chance to dodge,0.30%,+(4 to 8)% chance to dodge,(20 to 40)% increased item rarity,2% increased critical hit chance per 1% increased item rarity,+2% to critical damage multiplier per 1% increased item quantity,,,"***Thief's Grip*** (Gloves - Req. Level: ***18***; Req. Dex ***17***;Req. Int ***17***;)
- Innate: 3% chance to dodge
  - +(4 to 8)% chance to dodge
  - (20 to 40)% increased item rarity
  - 2% increased critical hit chance per 1% increased item rarity
  - +2% to critical damage multiplier per 1% increased item quantity","***Thief's Grip*** (Gloves - Req. Level: ***18***; Req. Dex ***17***;Req. Int ***17***;)
- Innate: 3% chance to dodge
  - +(4 to 8)% chance to dodge
  - (20 to 40)% increased item rarity
  - 2% increased critical hit chance per 1% increased item rarity
  - +2% to critical damage multiplier per 1% increased item quantity"
Armor,Gloves,Frostbound,18,17,,17,+6% to all elemental resistances,0.60%,+(40 to 60) to maximum life,+(10 to 30)% to cold resistance,+(3 to 5)% to maximum chill effect,Your hits inflict chill as though dealing 100% more damage,,,"***Frostbound*** (Gloves - Req. Level: ***18***; Req. Str ***17***;Req. Int ***17***;)
- Innate: +6% to all elemental resistances
  - +(40 to 60) to maximum life
  - +(10 to 30)% to cold resistance
  - +(3 to 5)% to maximum chill effect
  - Your hits inflict chill as though dealing 100% more damage","***Frostbound*** (Gloves - Req. Level: ***18***; Req. Str ***17***;Req. Int ***17***;)
- Innate: +6% to all elemental resistances
  - +(40 to 60) to maximum life
  - +(10 to 30)% to cold resistance
  - +(3 to 5)% to maximum chill effect
  - Your hits inflict chill as though dealing 100% more damage"
Armor,Gloves,Oscilliarm,31,53,,,9% increased armour,0.90%,(10 to 20)% increased strength,15% less attack speed,+(16 to 24)% chance to deal double damage with attacks,+(8 to 12)% chance to deal triple damage with attacks,,,"***Oscilliarm*** (Gloves - Req. Level: ***31***; Req. Str ***53***;)
- Innate: 9% increased armour
  - (10 to 20)% increased strength
  - 15% less attack speed
  - +(16 to 24)% chance to deal double damage with attacks
  - +(8 to 12)% chance to deal triple damage with attacks","***Oscilliarm*** (Gloves - Req. Level: ***31***; Req. Str ***53***;)
- Innate: 9% increased armour
  - (10 to 20)% increased strength
  - 15% less attack speed
  - +(16 to 24)% chance to deal double damage with attacks
  - +(8 to 12)% chance to deal triple damage with attacks"
Armor,Gloves,Truestrike,31,,53,,9% increased evasion rating,0.90%,+(30 to 50) to dexterity,+(200 to 600) to accuracy rating,+(2 to 6)% to attack base critical hit chance,Adds 2-3 physical damage to attacks per 50 accuracy rating,,,"***Truestrike*** (Gloves - Req. Level: ***31***; Req. Dex ***53***;)
- Innate: 9% increased evasion rating
  - +(30 to 50) to dexterity
  - +(200 to 600) to accuracy rating
  - +(2 to 6)% to attack base critical hit chance
  - Adds 2-3 physical damage to attacks per 50 accuracy rating","***Truestrike*** (Gloves - Req. Level: ***31***; Req. Dex ***53***;)
- Innate: 9% increased evasion rating
  - +(30 to 50) to dexterity
  - +(200 to 600) to accuracy rating
  - +(2 to 6)% to attack base critical hit chance
  - Adds 2-3 physical damage to attacks per 50 accuracy rating"
Armor,Gloves,Soul Rippers,31,,31,31,+3% chance to dodge,0.30%,Recover (5 to 8)% of mana on kill,Gain (6 to 12) energy shield on hit,(12 to 18)% increased attack and cast speed,(20 to 40)% increased cricital hit chance,,,"***Soul Rippers*** (Gloves - Req. Level: ***31***; Req. Dex ***31***;Req. Int ***31***;)
- Innate: +3% chance to dodge
  - Recover (5 to 8)% of mana on kill
  - Gain (6 to 12) energy shield on hit
  - (12 to 18)% increased attack and cast speed
  - (20 to 40)% increased cricital hit chance","***Soul Rippers*** (Gloves - Req. Level: ***31***; Req. Dex ***31***;Req. Int ***31***;)
- Innate: +3% chance to dodge
  - Recover (5 to 8)% of mana on kill
  - Gain (6 to 12) energy shield on hit
  - (12 to 18)% increased attack and cast speed
  - (20 to 40)% increased cricital hit chance"
Armor,Gloves,Woe Touch,39,,45,45,+4% chance to dodge,0.40%,+(3 to 5)% to base ciritcal chance hit chance,+(20 to 40)% to critical damage multiplier,40% less ailment duration,Ailments  inflicted with critical hits gain 1% more duration per 1% critical damage multiplier,,,"***Woe Touch*** (Gloves - Req. Level: ***39***; Req. Dex ***45***;Req. Int ***45***;)
- Innate: +4% chance to dodge
  - +(3 to 5)% to base ciritcal chance hit chance
  - +(20 to 40)% to critical damage multiplier
  - 40% less ailment duration
  - Ailments  inflicted with critical hits gain 1% more duration per 1% critical damage multiplier","***Woe Touch*** (Gloves - Req. Level: ***39***; Req. Dex ***45***;Req. Int ***45***;)
- Innate: +4% chance to dodge
  - +(3 to 5)% to base ciritcal chance hit chance
  - +(20 to 40)% to critical damage multiplier
  - 40% less ailment duration
  - Ailments  inflicted with critical hits gain 1% more duration per 1% critical damage multiplier"
Armor,Gloves,Arcanima,39,45,,45,+8% to all elemental resistances,0.80%,+(40 to 80) to maximum life,(60 to 90)% increased local defences,(20 to 40)% increased spell damage,The local damage of your weapons applies to spells as well,,,"***Arcanima*** (Gloves - Req. Level: ***39***; Req. Str ***45***;Req. Int ***45***;)
- Innate: +8% to all elemental resistances
  - +(40 to 80) to maximum life
  - (60 to 90)% increased local defences
  - (20 to 40)% increased spell damage
  - The local damage of your weapons applies to spells as well","***Arcanima*** (Gloves - Req. Level: ***39***; Req. Str ***45***;Req. Int ***45***;)
- Innate: +8% to all elemental resistances
  - +(40 to 80) to maximum life
  - (60 to 90)% increased local defences
  - (20 to 40)% increased spell damage
  - The local damage of your weapons applies to spells as well"
